DsCompetition,NaAsset,DsAsset,QtMinutesDuration
Automovilismo,Andalucía Rally 2020: Previa,"El Andalucía Rally marca el reinicio de la temporada de Rally Raid 2020 y servirá de preparación para la próxima edición del Dakar a pilotos de la talla de Carlos Sainz, Stéphane Peterhansel, Al-Attiyah o Nani Roma.",5.67
Automovilismo,Andalucía Rally 2020: Super especial de motos,"El Andalucía Rally arrancó con las motos y una corta super especial de 9 kilómetros a modo de prólogo que se ha llevado el ganador del Dakar en 2019, el australiano Toby Price. ",6.55
Automovilismo,Andalucía Rally 2020: Un pinchazo deja a Carlos Sainz cuarto ,"El piloto madrileño es cuarto detrás del líder Nasser Al-Attiyah, Yazeed Al-Rajhi y Bernhard Ten Brinke al final de la segunda etapa del Andalucía Rally 2020. ",7.32
Automovilismo,Andalucía Rally: Resumen del Etapa 1 de coches,Los mejores momentos del Etapa 1 de coches del Andalucía Rally 2021.,2.45
Automovilismo,Andalucía Rally: Resumen del Etapa 1 de motos,Los mejores momentos del Etapa 1 de motos del Andalucía Rally 2021.,2.52
Automovilismo,Andalucía Rally: Resumen del Etapa 2 de coches,Los mejores momentos del Etapa 2 de coches del Andalucía Rally 2021.,2.40
Automovilismo,Andalucía Rally: Resumen del Etapa 2 de motos,Los mejores momentos del Etapa 2 de motos del Andalucía Rally 2021.,2.05
Automovilismo,Andalucía Rally: Resumen del Etapa 3 de coches,Los mejores momentos del Etapa 3 de coches del Andalucía Rally 2021.,2.40
Automovilismo,Andalucía Rally: Resumen del Etapa 3 de motos,Los mejores momentos del Etapa 3 de motos del Andalucía Rally 2021.,2.50
Automovilismo,Andalucía Rally: Resumen del Etapa 4 de coches,Los mejores momentos del Etapa 4 de coches del Andalucía Rally 2021.,2.48
Automovilismo,Andalucía Rally: Resumen del Etapa 4 de motos,Los mejores momentos del Etapa 4 de motos del Andalucía Rally 2021.,2.30
Automovilismo,Andalucía Rally: Resumen del prólogo de SSVs,Resumen del Super Special Stage de vehículos ligeros y SSVs del Andalucía Rally 2021.,1.62
Automovilismo,Andalucía Rally: Resumen del prólogo de coches,Resumen del Super Special Stage de coches del Andalucía Rally 2021.,2.38
Automovilismo,Andalucía Rally: Resumen del prólogo de motos,Resumen del Super Special Stage de motos del Andalucía Rally 2021.,2.30
Automovilismo,Andalucía Rally: Roadbook Ep.1 ,"Imágenes y entrevistas mostrando el día al día fuera de las carreras en el Andalucía Rally 2021. 

",2.52
Automovilismo,Andalucía Rally: Roadbook Ep.2,Imágenes y entrevistas mostrando el día al día fuera de las carreras en el Andalucía Rally 2021. ,2.83
Automovilismo,Andalucía Rally: Roadbook Ep.3,Imágenes y entrevistas mostrando el día al día fuera de las carreras en el Andalucía Rally 2021. ,3.28
Automovilismo,Andalucía Rally: Roadbook Ep.4,Imágenes y entrevistas mostrando el día al día fuera de las carreras en el Andalucía Rally 2021. ,3.28
Automovilismo,Andalucía Rally: Roadbook Ep.5,Imágenes y entrevistas mostrando el día al día fuera de las carreras en el Andalucía Rally 2021. ,2.83
Automovilismo,"Antonio Albacete: ""Ojalá hacer podio en casa""",Antonio Albacete correrá este fin de semana el GP del Jarama de la FIA European Truck Racing Championship. Hemos hablado con él antes de vivir el GP en LaLigaSportsTV.,5.67
Automovilismo,BMW Carrera de Leyendas,"El circuito alemán de Nürburgring acoge la carrera de resistencia de automóviles deportivos y turismos, ADAC TotalEnergies 24h Nürburgring.",0.00
Automovilismo,BMW Carrera de Leyendas,"El circuito alemán de Nürburgring acoge la carrera de resistencia de automóviles deportivos y turismos, ADAC TotalEnergies 24h Nürburgring.",63.00
Automovilismo,CEAX Autocross Carballo – Carrera Domingo,CEAX Autocross Carballo – Carrera Domingo,0.00
Automovilismo,CEK LaLigaSports – Carreras,CEK LaLigaSports – Carreras,0.00
Automovilismo,CEK LaLigaSports – Clasificatorias,CEK LaLigaSports – Clasificatorias,0.00
Automovilismo,CIK FIA – Campeonato Europeo de Karting,CIK FIA – Campeonato Europeo de Karting,0.00
Automovilismo,CIK FIA – Campeonato Europeo de Karting,CIK FIA – Campeonato Europeo de Karting,0.00
Automovilismo,Campeonato Europeo de Karting: Domingo,Campeonato Europeo de Karting: Domingo,0.00
Automovilismo,Campeonato Europeo de Karting: Sábado mañana,Campeonato Europeo de Karting: Sábado mañana,0.00
Automovilismo,Campeonato Europeo de Karting: Sábado tarde,Campeonato Europeo de Karting: Sábado tarde,0.00
Automovilismo,Campeonato de España Arteixo - Carrera,Campeonato de España Arteixo - Carrera,0.00
Automovilismo,Campeonato de España LaLigaSportsTV Zaragoza – Carrera 1,El Circuito Internacional de Zuera (Zaragoza) acoge la tercera prueba del Campeonato de España de Karting LaLigaSportsTV 2020.,305.93
Automovilismo,Campeonato de España LaLigaSportsTV Zaragoza – Carrera 1,El Circuito Internacional de Zuera (Zaragoza) acoge la tercera prueba del Campeonato de España de Karting LaLigaSportsTV 2020.,315.00
Automovilismo,Campeonato de España LaLigaSportsTV Zaragoza – Carrera 2,El Circuito Internacional de Zuera (Zaragoza) acoge la tercera prueba del Campeonato de España de Karting LaLigaSportsTV 2020.,315.17
Automovilismo,Campeonato de España LaLigaSportsTV Zaragoza – Carrera 2,El Circuito Internacional de Zuera (Zaragoza) acoge la tercera prueba del Campeonato de España de Karting LaLigaSportsTV 2020.,315.00
Automovilismo,Campeonato de España LaLigaSportsTV – Carrera 1,El Kartódromo Internacional Lucas Guerrero de Valencia acoge la segunda prueba del Campeonato de España de Karting LaLigaSportsTV 2020.,315.00
Automovilismo,Campeonato de España LaLigaSportsTV – Carrera 2,El Kartódromo Internacional Lucas Guerrero de Valencia acoge la segunda prueba del Campeonato de España de Karting LaLigaSportsTV 2020.,320.00
Automovilismo,Campeonato de España LaLigaSportsTV: Carreras Domingo,El Kartódromo Internacional Lucas Guerrero de Valencia acoge la segunda prueba del Campeonato de España de Karting LaLigaSportsTV 2020.,253.47
Automovilismo,Campeonato de España LaLigaSportsTV: Carreras Sábado,El Kartódromo Internacional Lucas Guerrero de Valencia acoge la segunda prueba del Campeonato de España de Karting LaLigaSportsTV 2020.,253.67
Automovilismo,Campeonato de España Miranda de Ebro - Carrera,Campeonato de España Miranda de Ebro - Carrera,0.00
Automovilismo,Campeonato de España de Autocross: XVII Autocross Premi Ara Lleida,Campeonato de España de Autocross: XVII Autocross Premi Ara Lleida,0.00
Automovilismo,Campeonato de España de Karting LaLigaSports Zuera: Carreras,Campeonato de España de Karting LaLigaSports Zuera: Carreras,0.00
Automovilismo,Campeonato de España de Karting LaLigaSports Zuera: Clasificatorias,Campeonato de España de Karting LaLigaSports Zuera: Clasificatorias,0.00
Automovilismo,Campeonato de España de Karting LaLigaSports: Chiva Carrera 1,Campeonato de España de Karting LaLigaSports: Chiva Carrera 1,0.00
Automovilismo,Campeonato de España de Karting LaLigaSports: Chiva Carrera 2,Campeonato de España de Karting LaLigaSports: Chiva Carrera 2,0.00
Automovilismo,Campeonato de España de Karting LaLigaSports: Chiva Clasificatoria 1,Campeonato de España de Karting LaLigaSports: Chiva Clasificatoria 1,0.00
Automovilismo,Campeonato de España de Karting LaLigaSports: Chiva Clasificatoria 2,Campeonato de España de Karting LaLigaSports: Chiva Clasificatoria 2,0.00
Automovilismo,Campeonato de España de Karting LaLigaSportsTV – Carreras domingo,El trazado malagueño de Campillos acoge la primera prueba del Campeonato de España de Karting LaLigaSportsTV 2020.,289.95
Automovilismo,Campeonato de España de Karting LaLigaSportsTV – Carreras domingo,El trazado malagueño de Campillos acoge la primera prueba del Campeonato de España de Karting LaLigaSportsTV 2020.,310.00
Automovilismo,Campeonato de España de Karting LaLigaSportsTV – Carreras sábado,El trazado malagueño de Campillos acoge la primera prueba del Campeonato de España de Karting LaLigaSportsTV 2020.,291.75
Automovilismo,Campeonato de España de Karting LaLigaSportsTV – Carreras sábado,El trazado malagueño de Campillos acoge la primera prueba del Campeonato de España de Karting LaLigaSportsTV 2020.,299.00
Automovilismo,Campeonato de Europa de Karting - Domingo,Campeonato de Europa de Karting - Domingo,0.00
Automovilismo,Campeonato de Europa de Karting - Sábado Mañana,Campeonato de Europa de Karting - Sábado Mañana,0.00
Automovilismo,Campeonato de Europa de Karting - Sábado tarde,Campeonato de Europa de Karting - Sábado tarde,0.00
Automovilismo,Campeonato de Europa de Karting FIA: GP Finlandia - Domingo,Campeonato de Europa de Karting FIA: GP Finlandia - Domingo,0.00
Automovilismo,Campeonato de Europa de Karting FIA: GP Finlandia - Sábado,Campeonato de Europa de Karting FIA: GP Finlandia - Sábado,0.00
Automovilismo,Campeonato de Europa de Karting-FIA GP Bélgica,Campeonato de Europa de Karting-FIA GP Bélgica,0.00
Automovilismo,Campeonato de Europa de Karting-FIA GP Bélgica,Campeonato de Europa de Karting-FIA GP Bélgica,0.00
Automovilismo,Carlos Sainz gana la Baja Hail 2,"El piloto español Carlos Sainz ha sido declarado ganador de la Baja Hail 2 después de que los comisarios deportivos impusieran una penalización al catarí Nasser Al-Attiyah. Una protesta presentada por el equipo VRT derivó en una sanción de dos minutos por exceso de velocidad a cuatro pilotos, entre ellos Al-Attiyah. Baja Hail 2 Toyota Rally 2020: Etapa 2",12.97
Automovilismo,Carlos Sainz manda en la Baja Hail 2,"Carlos Sainz y Lucas Cruz han sido los más rápidos en la primera etapa de la Baja Hail 2, una especial de 312 kilómetros con comienzo y final en Áqaba, Arabia Saudi. Baja Hail 2 Toyota Rally 2020: Etapa 1",13.23
Automovilismo,Carrera - Prueba 12H,"El circuito alemán de Nürburgring acoge la carrera de resistencia de automóviles deportivos y turismos, ADAC TotalEnergies 24h Nürburgring.",0.00
Automovilismo,Carrera - Prueba 16H,"El circuito alemán de Nürburgring acoge la carrera de resistencia de automóviles deportivos y turismos, ADAC TotalEnergies 24h Nürburgring.",0.00
Automovilismo,Carrera 24h,"El circuito alemán de Nürburgring acoge la carrera de resistencia de automóviles deportivos y turismos, ADAC TotalEnergies 24h Nürburgring.",1505.00
Automovilismo,Carrera 24h ,"El circuito alemán de Nürburgring acoge la carrera de resistencia de automóviles deportivos y turismos, ADAC TotalEnergies 24h Nürburgring.",0.00
Automovilismo,Carrera 24h - 1ª Parte,"El circuito alemán de Nürburgring acoge la carrera de resistencia de automóviles deportivos y turismos, ADAC TotalEnergies 24h Nürburgring.",0.00
Automovilismo,Carrera 24h - 2ª Parte ,"El circuito alemán de Nürburgring acoge la carrera de resistencia de automóviles deportivos y turismos, ADAC TotalEnergies 24h Nürburgring.",0.00
Automovilismo,Carrera 24h - 3ª Parte,"El circuito alemán de Nürburgring acoge la carrera de resistencia de automóviles deportivos y turismos, ADAC TotalEnergies 24h Nürburgring.",0.00
Automovilismo,Carrera 24h - 4ª Parte,"El circuito alemán de Nürburgring acoge la carrera de resistencia de automóviles deportivos y turismos, ADAC TotalEnergies 24h Nürburgring.",0.00
Automovilismo,Clasificación 1,"El circuito alemán de Nürburgring acoge la carrera de resistencia de automóviles deportivos y turismos, ADAC TotalEnergies 24h Nürburgring.",80.00
Automovilismo,Clasificación 1,"El circuito alemán de Nürburgring acoge la carrera de resistencia de automóviles deportivos y turismos, ADAC TotalEnergies 24h Nürburgring.",85.00
Automovilismo,Clasificación 2,"El circuito alemán de Nürburgring acoge la carrera de resistencia de automóviles deportivos y turismos, ADAC TotalEnergies 24h Nürburgring.",0.00
Automovilismo,Clasificación 2,"El circuito alemán de Nürburgring acoge la carrera de resistencia de automóviles deportivos y turismos, ADAC TotalEnergies 24h Nürburgring.",197.00
Automovilismo,Clasificación 3,"El circuito alemán de Nürburgring acoge la carrera de resistencia de automóviles deportivos y turismos, ADAC TotalEnergies 24h Nürburgring.",0.00
Automovilismo,Clasificación 3,"El circuito alemán de Nürburgring acoge la carrera de resistencia de automóviles deportivos y turismos, ADAC TotalEnergies 24h Nürburgring.",75.00
Automovilismo,"Cristina Gutiérrez, campeona de la Copa del Mundo de Rallies Cross Country","La española hace historia al ser la primera mujer en proclamarse campeona de la Copa del Mundo de Rallies Cross Country, en categoría 3, tras finalizar en segundo lugar en el Abu Dhabi Desert Challenger 2021.",13.65
Automovilismo,Digital Nürburgring Endurance Series 2020: Carrera 04,Digital Nürburgring Endurance Series 2020: Carrera 04,0.00
Automovilismo,Diriyah E-Prix: Sábado,Diriyah E-Prix: Sábado,0.00
Automovilismo,Diriyah E-Prix: Viernes,Diriyah E-Prix: Viernes,0.00
Automovilismo,Dos campeones coronados tras magníficas victorias en Zuera ,"El 2021 FIA Karting European Championship - OK y Junior, terminó en España con una competición espectacular. La italiana Andrea Kimi Antonelli, en OK, y el británico Freddie Slater, en Junior, se coronaron después de ganar sus respectivas finales. FIA Karting #5",26.00
Automovilismo,Dos nuevos campeones de Europa coronados en Adria ,"El evento de Karting de la FIA en Adria (Italia) concluyó su último día con los italianos en el centro de atención. La final del FIA Karting European Championship - KZ fue ganada por Paolo Ippolito, mientras que el título fue para Riccardo Longhi. En el FIA Karting European Championship - KZ2, Giacomo Pollini ganaba la final y el campeonato. FIA Karting #6.",26.00
Automovilismo,El 2021 Tour Auto Optic 2000 para coches históricos ,"Revive la 30ª edición del Tour Auto Optic 2000 de coches clásicos, un recorrido que comenzaba en el Château de Courances (París) y terminaba en el circuito Paul Ricard, atravesando Limoges, Toulouse y Pont du Gard. El rally enfrentaba a los competidores en pruebas cronometradas en cuatro circuitos diferentes y en diez etapas especiales. Los festejos comenzaban en el Grand Palais Éphémère con la exposición de automóviles clásicos que participaron en el Tour de Francia del Automóvil entre 1951 y 1973. ",52.20
Automovilismo,El Africa Eco Race vuelve en enero de 2021,El Africa Eco Race vuelve a escena del 2 al 17 de enero de 2021. Las personas clave de la organización hablan de los preparativos desde casa para asegurar que la edición número 13 de este exigente rally sea una de las mejores hasta la fecha.,14.78
Automovilismo,El mejor resumen del Rally de Marruecos 2019,El mejor resumen del Rally de Marruecos 2019,0.00
Automovilismo,Entrenamos con Cristina Gutiérrez,Un día de entrenamiento con la piloto del Dakar Cristina Gutiérrez.,5.00
Automovilismo,Etapa 06: Dakhla a Chami,Resumen de la sexta etapa del África Eco Race.,12.73
Automovilismo,"Etapa 07: Chami a Aidzidine, en Mauritania","Una sección de 478 km casi completamente fuera de la pista, lo que requiere grandes habilidades de navegación.",14.42
Automovilismo,"Etapa 08: Aidzidine a Tidjikja, en Mauritania","Una etapa de 451 km con pistas de arena, una meseta pedregosa, complicadas dunas y una última parte fuera de pistas en la que la navegación es muy difícil.",14.17
Automovilismo,"Etapa 09: Tidjikja, Mauritania",Eatapa circular de 469 km con inicio y final en Tidjikja (Mauritania). Una de las más especiales y novedosas para los pilotos en esta 12ª edición.,13.78
Automovilismo,"Etapa 10: Tidjikja a Idini, en Mauritania","La África Eco Race atraviesa su etapa más larga de más de 600 km. La habilidad para sortear las dunas y la navegación, claves para superar este duro tramo.",13.45
Automovilismo,"Etapa 11: Idini a St. Louis, en Senegal","Etapa de 474 km relativamente rápida, pero sin mayores dificultades. Los pilotos disfrutan de esa sensación de libertad en la penúltima etapa de la África Eco Race.",13.57
Automovilismo,"Etapa 12: St. Louis a Dakar, en Senegal",La África Eco Race llega a su fin. Última etapa de 300 km en la que los pilotos disfrutan de la recompensa de llegar a la meta.,13.60
Automovilismo,FIA - Pure Motorsport: Episodio 2,"Vamos en la búsqueda de la próxima gran estrella del rally, tenemos los mejores momentos de la Safari Rally Kenya y visitamos la ecoRally Cup en Valencia.",26.00
Automovilismo,FIA - Pure Motorsport: Episodio 6,"Esta semana entrevistamos a Hamda Al Qubaisi, piloto de Prema Racing para el Campeonato Europa de Fórmula Regional, y repasamos las últimas noticias que nos ha dejado el mundo del motor.",26.00
Automovilismo,FIA - Pure Motorsport: Episodio 7,"Esta semana repasamos lo mejor del FIA Rally Star African Final, descubrimos en qué consiste la nueva 'FIA Rally Pyramid' y revivimos la última carrera del Goodyear FIA European Truck Racing Championship desde el circuito alemán de Nürburgring.",26.00
Automovilismo,FIA - Pure Motorsport: Episodio 8,"Esta semana les presentamos al creador del VW Golf Rally TFSi, además tenemos una gran carrera regional de Fórmula de las Ardenas y le mostraremos el mejor primer paso hacia el Rally Cross-Country, y mucho, mucho más del FIA World of Motorsport. 
",26.00
Automovilismo,FIA ETRC - Jarama: Carrera 2,El Circuito de Jarama en España acoge la Ronda 8 de la FIA European Truck Racing Championship 2023.,65.00
Automovilismo,FIA ETRC - Jarama: Domingo,El Circuito de Jarama en España acoge la Ronda 8 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Jarama: Domingo,El Circuito de Jarama en España acoge la Ronda 8 de la FIA European Truck Racing Championship 2023.,465.00
Automovilismo,FIA ETRC - Jarama: Domingo,El Circuito de Jarama en España acoge la Ronda 8 de la FIA European Truck Racing Championship 2023.,435.00
Automovilismo,FIA ETRC - Jarama: Saturday,El Circuito de Jarama en España acoge la Ronda 8 de la FIA European Truck Racing Championship 2023.,365.70
Automovilismo,FIA ETRC - Jarama: Sábado,El Circuito de Jarama en España acoge la Ronda 8 de la FIA European Truck Racing Championship 2023.,380.00
Automovilismo,FIA ETRC - Le Mans: Carrera 1,El Circuito de Le Mans en Francia acoge la Ronda 7 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Le Mans: Carrera 1,El Circuito de Le Mans en Francia acoge la Ronda 7 de la FIA European Truck Racing Championship 2023.,85.00
Automovilismo,FIA ETRC - Le Mans: Carrera 2,El Circuito de Le Mans en Francia acoge la Ronda 7 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Le Mans: Carrera 2,El Circuito de Le Mans en Francia acoge la Ronda 7 de la FIA European Truck Racing Championship 2023.,90.00
Automovilismo,FIA ETRC - Le Mans: Carrera 3,El Circuito de Le Mans en Francia acoge la Ronda 7 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Le Mans: Carrera 3,El Circuito de Le Mans en Francia acoge la Ronda 7 de la FIA European Truck Racing Championship 2023.,93.00
Automovilismo,FIA ETRC - Le Mans: Carrera 4,El Circuito de Le Mans en Francia acoge la Ronda 7 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Le Mans: Carrera 4,El Circuito de Le Mans en Francia acoge la Ronda 7 de la FIA European Truck Racing Championship 2023.,72.00
Automovilismo,FIA ETRC - Most: Carrera 1,El Circuito de Most en República Checa acoge la Ronda 5 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Most: Carrera 1,El Circuito de Most en República Checa acoge la Ronda 5 de la FIA European Truck Racing Championship 2023.,84.00
Automovilismo,FIA ETRC - Most: Carrera 2,El Circuito de Most en República Checa acoge la Ronda 5 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Most: Carrera 2,El Circuito de Most en República Checa acoge la Ronda 5 de la FIA European Truck Racing Championship 2023.,116.00
Automovilismo,FIA ETRC - Most: Carrera 3,El Circuito de Most en República Checa acoge la Ronda 5 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Most: Carrera 3,El Circuito de Most en República Checa acoge la Ronda 5 de la FIA European Truck Racing Championship 2023.,85.00
Automovilismo,FIA ETRC - Most: Carrera 4,El Circuito de Most en República Checa acoge la Ronda 5 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Most: Carrera 4,El Circuito de Most en República Checa acoge la Ronda 5 de la FIA European Truck Racing Championship 2023.,100.00
Automovilismo,FIA ETRC - Nürburgring: Carrera 1,El Circuito de Nürburgring en Alemania acoge la Ronda 4 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Nürburgring: Carrera 1,El Circuito de Nürburgring en Alemania acoge la Ronda 4 de la FIA European Truck Racing Championship 2023.,72.00
Automovilismo,FIA ETRC - Nürburgring: Carrera 2,El Circuito de Nürburgring en Alemania acoge la Ronda 4 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Nürburgring: Carrera 2,El Circuito de Nürburgring en Alemania acoge la Ronda 4 de la FIA European Truck Racing Championship 2023.,80.00
Automovilismo,FIA ETRC - Nürburgring: Carrera 3,El Circuito de Nürburgring en Alemania acoge la Ronda 4 de la FIA European Truck Racing Championship 2023.,74.50
Automovilismo,FIA ETRC - Nürburgring: Carrera 3,El Circuito de Nürburgring en Alemania acoge la Ronda 4 de la FIA European Truck Racing Championship 2023.,75.00
Automovilismo,FIA ETRC - Nürburgring: Carrera 4,El Circuito de Nürburgring en Alemania acoge la Ronda 4 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Nürburgring: Carrera 4,El Circuito de Nürburgring en Alemania acoge la Ronda 4 de la FIA European Truck Racing Championship 2023.,86.00
Automovilismo,FIA ETRC - Poznan: Carrera 1,El Circuito de Poznan en Polonia acoge la Ronda 3 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Poznan: Carrera 1,El Circuito de Poznan en Polonia acoge la Ronda 3 de la FIA European Truck Racing Championship 2023.,78.00
Automovilismo,FIA ETRC - Poznan: Carrera 2,El Circuito de Poznan en Polonia acoge la Ronda 3 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Poznan: Carrera 2,El Circuito de Poznan en Polonia acoge la Ronda 3 de la FIA European Truck Racing Championship 2023.,90.00
Automovilismo,FIA ETRC - Poznan: Carrera 3,El Circuito de Poznan en Polonia acoge la Ronda 3 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Poznan: Carrera 3,El Circuito de Poznan en Polonia acoge la Ronda 3 de la FIA European Truck Racing Championship 2023.,97.00
Automovilismo,FIA ETRC - Poznan: Carrera 4,El Circuito de Poznan en Polonia acoge la Ronda 3 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Poznan: Carrera 4,El Circuito de Poznan en Polonia acoge la Ronda 3 de la FIA European Truck Racing Championship 2023.,85.00
Automovilismo,FIA ETRC - Slovakia Ring: Carrera 1,El Circuito de Slovakia Ring acoge la Ronda 2 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Slovakia Ring: Carrera 1,El Circuito de Slovakia Ring acoge la Ronda 2 de la FIA European Truck Racing Championship 2023.,120.00
Automovilismo,FIA ETRC - Slovakia Ring: Carrera 2,El Circuito de Slovakia Ring acoge la Ronda 2 de la FIA European Truck Racing Championship 2023.,0.00
Automovilismo,FIA ETRC - Slovakia Ring: Carrera 2,El Circuito de Slovakia Ring acoge la Ronda 2 de la FIA European Truck Racing Championship 2023.,102.00
Automovilismo,FIA ETRC - Slovakia Ring: Carrera 3,El Circuito de Slovakia Ring acoge la Ronda 2 de la FIA European Truck Racing Championship 2023.,0.00
